Zeit;Log_70_22;Log_99_22;Log_70_21;Log_99_21;Log_70_20;Log_99_20;Log_70_19;Log_99_19;Log_70_18;Log_99_18
01.06.2021 00:00;13.654;12.207;16.713;14.134;16.237;12.98;16.903;12.11;15.951;14.613
01.06.2021 00:10;13.558;12.11;16.237;14.325;15.951;12.69;16.713;12.594;15.951;14.613
01.06.2021 00:20;13.558;12.013;16.046;14.038;15.76;12.497;16.427;12.304;15.951;14.709
01.06.2021 00:30;13.461;11.819;15.855;13.75;15.664;12.304;16.332;12.69;15.855;14.613
01.06.2021 00:40;13.558;11.916;15.569;13.461;15.569;12.207;16.237;12.401;15.76;14.517
01.06.2021 00:50;13.75;12.013;15.473;12.883;15.282;12.11;15.951;11.916;15.569;14.421
01.06.2021 01:00;13.654;11.722;15.378;12.013;14.804;11.819;15.855;11.625;15.282;14.23
01.06.2021 01:10;13.461;11.431;15.091;11.722;14.325;11.722;15.76;11.334;15.282;14.038
01.06.2021 01:20;13.461;11.625;14.804;12.013;14.038;11.528;15.569;11.041;15.187;14.038
01.06.2021 01:30;13.558;11.431;14.613;12.11;13.846;11.528;15.187;10.846;14.996;13.942
01.06.2021 01:40;13.558;11.139;14.421;11.625;13.558;11.431;14.9;10.748;14.996;13.846
01.06.2021 01:50;13.558;11.139;14.421;11.431;13.365;11.334;14.9;10.846;14.996;13.654
01.06.2021 02:00;13.654;11.139;14.134;11.236;13.269;11.041;14.613;10.748;15.282;13.558
01.06.2021 02:10;13.654;11.334;13.654;11.139;13.076;10.748;14.325;11.139;15.282;13.654
01.06.2021 02:20;13.654;11.625;13.558;10.748;13.076;10.357;14.134;10.846;15.187;13.654
01.06.2021 02:30;13.558;11.819;13.461;10.553;12.883;10.063;14.23;10.553;15.091;13.558
01.06.2021 02:40;13.558;11.722;13.461;10.651;12.98;9.965;14.038;10.161;14.996;13.558
01.06.2021 02:50;13.558;11.625;13.173;10.553;12.883;9.472;13.846;9.965;14.996;13.558
01.06.2021 03:00;13.461;11.625;12.98;10.357;12.787;9.176;13.75;10.259;14.996;13.365
01.06.2021 03:10;13.461;11.528;12.883;9.866;12.594;8.779;13.75;9.965;15.091;13.365
01.06.2021 03:20;13.461;11.431;12.787;9.669;12.787;8.879;13.75;9.571;15.187;13.558
01.06.2021 03:30;13.558;11.528;12.69;9.472;12.304;8.978;13.654;9.571;15.187;13.558
01.06.2021 03:40;13.365;11.528;12.69;9.472;12.11;9.275;13.461;9.669;14.996;13.558
01.06.2021 03:50;13.461;11.722;12.594;9.373;12.013;9.077;13.269;9.669;14.9;13.365
01.06.2021 04:00;13.461;11.722;12.401;9.275;12.013;9.077;12.883;9.373;14.804;13.173
01.06.2021 04:10;13.461;11.625;12.304;9.176;12.013;9.275;12.883;9.275;14.613;13.269
01.06.2021 04:20;13.365;11.722;12.11;8.978;11.916;8.978;13.076;9.176;14.517;12.98
01.06.2021 04:30;13.365;11.625;12.11;9.077;11.722;8.779;12.98;9.176;14.325;12.69
01.06.2021 04:40;13.461;11.625;12.013;8.978;11.431;8.282;12.69;8.978;14.325;12.594
01.06.2021 04:50;13.461;11.625;12.207;8.68;11.041;7.882;12.497;8.978;14.325;12.401
01.06.2021 05:00;13.365;11.236;12.207;9.176;10.846;8.082;12.497;8.879;14.421;12.304
01.06.2021 05:10;13.269;11.334;12.013;8.68;10.944;7.983;12.304;8.779;14.23;11.722
01.06.2021 05:20;13.365;11.431;12.013;8.082;11.041;7.582;12.304;8.879;14.038;11.916
01.06.2021 05:30;13.269;11.528;11.722;8.082;10.748;7.381;12.304;8.879;13.942;11.916
01.06.2021 05:40;13.173;11.625;11.528;7.782;10.553;7.079;12.207;8.68;13.846;12.013
01.06.2021 05:50;13.076;11.528;10.944;7.481;10.553;6.978;12.207;8.382;13.75;12.013
01.06.2021 06:00;13.076;11.334;10.944;7.381;10.357;6.978;12.207;8.481;13.75;12.013
01.06.2021 06:10;12.883;11.236;10.944;7.28;10.357;6.978;12.11;8.68;13.942;12.594
01.06.2021 06:20;12.69;11.334;10.944;7.381;10.357;7.079;12.013;8.779;13.846;12.401
01.06.2021 06:30;12.69;11.431;11.041;7.983;10.357;7.682;12.11;9.176;13.654;12.013
01.06.2021 06:40;12.883;11.722;11.334;8.879;10.455;8.282;12.013;9.866;13.75;12.304
01.06.2021 06:50;13.076;12.11;11.916;9.866;11.139;9.275;12.787;10.651;13.461;12.594
01.06.2021 07:00;13.365;12.207;12.497;11.041;11.528;9.669;13.461;11.625;13.654;13.173
01.06.2021 07:10;13.173;12.304;12.69;11.916;12.013;10.259;14.038;12.207;14.038;13.558
01.06.2021 07:20;13.365;12.497;13.269;12.401;12.594;11.431;14.421;13.173;14.134;13.75
01.06.2021 07:30;13.75;12.883;13.75;13.076;12.69;12.207;14.804;14.038;14.421;14.134
01.06.2021 07:40;14.134;12.98;14.325;12.98;12.787;12.497;14.517;13.75;14.709;14.613
01.06.2021 07:50;14.325;13.173;14.709;13.076;12.98;12.497;14.804;14.23;14.709;14.996
01.06.2021 08:00;14.517;13.75;14.804;13.654;13.269;12.787;15.187;15.569;15.091;15.282
01.06.2021 08:10;15.091;14.23;14.709;14.134;13.846;13.076;16.046;16.332;16.237;15.76
01.06.2021 08:20;15.664;14.804;15.282;14.517;13.75;13.365;16.999;16.618;17.189;15.951
01.06.2021 08:30;16.427;15.187;15.76;14.613;13.942;13.75;17.76;16.713;17.57;16.332
01.06.2021 08:40;16.618;16.046;16.523;14.9;14.517;14.134;17.95;17.475;17.855;16.523
01.06.2021 08:50;16.903;16.713;17.094;15.187;14.9;14.134;18.045;17.95;18.426;16.808
01.06.2021 09:00;16.999;17.094;18.045;15.664;14.996;14.325;18.521;18.806;18.426;16.903
01.06.2021 09:10;16.999;16.808;17.95;15.855;15.76;14.709;18.996;18.616;19.187;16.999
01.06.2021 09:20;17.855;17.76;17.57;16.046;15.76;14.996;19.092;18.996;19.187;17.094
01.06.2021 09:30;17.95;17.665;18.045;16.332;15.76;15.473;19.282;19.377;19.567;17.284
01.06.2021 09:40;18.045;18.045;18.711;16.713;16.237;15.855;19.948;19.377;20.329;17.76
01.06.2021 09:50;17.76;18.426;18.711;16.903;16.523;16.427;19.853;19.472;20.519;18.14
01.06.2021 10:00;18.045;17.76;19.282;17.189;17.284;16.903;20.519;19.567;20.138;18.521
01.06.2021 10:10;18.331;17.665;19.662;17.379;17.189;17.094;21.473;19.758;19.853;18.806
01.06.2021 10:20;17.855;17.284;19.567;17.57;17.379;17.57;21.664;19.758;20.71;19.092
01.06.2021 10:30;18.806;18.045;19.567;18.045;17.57;17.76;21.569;19.948;20.901;19.377
01.06.2021 10:40;19.377;19.662;19.853;18.426;18.14;17.76;21.378;20.234;21.473;19.758
01.06.2021 10:50;18.996;19.092;20.043;18.711;18.331;18.236;21.664;20.519;21.855;19.948
01.06.2021 11:00;18.521;18.616;20.424;19.092;19.282;18.521;21.664;20.71;21.569;20.329
01.06.2021 11:10;18.901;18.521;20.805;19.377;19.282;18.806;21.76;20.805;20.71;20.805
