Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,valid_days_percent,Log_NR,STANDORT_NEU,NORD_CHTOPO,OST_CHTOPO
Log_1,20.93625868912855,27.786560699393952,18.12412443162366,15.73662928206302,22.559329953398457,0.5033130221809963,0.5427910030076947,1.2249975721544766,8,2,72,27,7,56,0.6153846153846154,1,VonRoll,46.95291,7.42252
Log_2,18.915514484892313,24.485048166307276,15.609875587313395,14.473563744563974,19.99948137845204,1.1912913493573445,0.9560238112370708,0.8367030340021866,1,1,9,1,0,15,0.16483516483516483,2,Europaplatz,46.94333,7.40633
Log_7,21.851170244395853,28.809978736884705,18.668941098124616,16.33478294041352,23.304956525202204,1.4182245774482984,1.288417574811443,1.769814238655431,10,0,75,34,9,91,1,7,Brunnhof,46.94479,7.42713
Log_8,21.42013614348239,27.420242266316883,18.78481291888041,16.532592683885884,22.723571638651613,0.8517777550454396,0.6263726408177203,1.5347086662491962,9,0,56,25,7,76,0.8351648351648352,8,Wankdorf ESP,46.968,7.46247
Log_9,20.36954162269956,26.889112522017772,16.98629397347264,14.685897956521632,21.964942468115826,-0.06340404424799376,-0.05159648227493697,0.08716711400345681,0,5,69,21,6,82,0.9010989010989011,9,Bremgartenfriedhof,46.9503,7.42015
Log_10,20.856068985567475,26.678649974623582,18.287058372584102,16.1969882300437,22.258079587944664,0.4231233186199179,0.24154063755390182,1.346123415842747,9,1,67,21,2,6,0.06593406593406594,10,Hintere Langgasse,46.95789,7.43541
Log_13,20.37270160828008,26.513873270505968,17.203182835235783,15.26283255028299,21.775497306641018,-0.06024405866747328,-0.24104164374974557,0.3040559757665992,2,3,58,22,4,91,1,13,Egelsee,46.94469,7.46442
Log_14,21.738498506327836,28.134182365214738,18.55862206668183,16.034893402463336,23.21264071079153,1.3055528393802804,1.1961017604007689,1.6062134438701656,7,0,73,30,9,91,1,14,Helvetiaplatz,46.94381,7.44885
Log_16,21.88733055386765,27.845235370412755,18.985330032787463,16.53814119681595,23.221000189755095,1.4368837215432122,1.2117977958532271,1.8759098058072996,10,0,64,27,7,81,0.8901098901098901,16,Bubenbergplatz,46.94728,7.43843
Log_17,20.67500987577554,27.64914035314684,17.65005356192913,15.297862670443685,22.04900785091014,0.24206420882798493,0.03246890051937689,0.7509267024599456,2,3,71,29,8,91,1,17,Rosengarten,46.95188,7.4602
Log_19,21.268570990701836,27.70698780273402,17.951472717922986,15.694679277509925,22.76268013291353,0.8356253237542803,0.7461411825227694,1.0523458584538017,4,3,71,26,7,91,1,19,Galgenfeld Neubausiedlung,46.95063,7.46987
Log_21,21.422061799516133,27.722763060561732,17.952038840007628,15.726091532801565,22.99366920273399,0.9891161325685777,0.9771302523432273,1.052911980538442,5,0,74,24,7,92,1.010989010989011,21,Gaswerk,46.93964,7.44166
Log_22,21.374167931347497,28.039501792935074,18.29628906524901,16.125980453685177,22.7659847886996,0.9412222643999406,0.7494458383088409,1.3971622057798245,8,0,73,29,8,91,1,22,Matte Muhleplatz,46.94701,7.45583
Log_23,20.69298298689448,27.711486726309538,17.24101510514196,15.14881238048125,22.23115997578551,0.2600373199469263,0.21462102539474734,0.34188824567277437,2,3,72,27,9,91,1,23,Ostermundigen Ahornstrasse,46.95566,7.49879
Log_25,20.408147834803323,26.665530532971097,16.751544147202843,14.80838852423108,22.05423171118311,-0.024797832144232822,0.03769276079234822,-0.1475827122663429,1,5,67,18,5,75,0.8241758241758241,25,Liebefeld,46.92781,7.42031
Log_26,21.29469764025688,27.46038874016871,18.3823103477283,16.039524968600052,22.63462484638914,0.8617519733093261,0.6180858959983798,1.4831834882591155,9,0,71,24,8,91,1,26,Inselspital,46.94719,7.42571
Log_28,21.494626346739096,28.306766878634384,18.36838071184817,16.030537732853904,22.925042697125154,1.061680679791542,0.9085037467343927,1.469253852378987,9,0,73,28,9,91,1,28,Parkli bei Eigerplatz,46.94195,7.43094
Log_30,21.777521663520147,28.363656492879677,18.511690967021956,16.196126833646307,23.252588440723226,1.3445759965725934,1.236049490332465,1.6125641075527708,9,0,73,32,9,91,1,30,Galgenfeld Industrie,46.95553,7.47194
Log_31,20.14100361457313,27.342023512162434,15.660395936168046,13.700606252677666,22.003663410310764,-0.2919420523744273,-0.012875540079996743,-1.1185658315785931,1,12,71,23,6,87,0.9560439560439561,31,Weiermatt,46.92041,7.40995
Log_32,16.684714761830232,20.620702439536124,16.10178087917609,14.45409845281549,17.429545657233774,-3.327826457616497,-4.157795106124878,-0.7524188283360441,0,4,20,9,0,0,0,32,Bremgartenwald,46.95739,7.42128
Log_33,20.25350593447999,24.28360666499882,16.591146824853272,14.61825197004872,20.954758888365795,-0.5422037862275109,-1.5053321448349348,-0.013639420117337209,2,0,36,8,0,36,0.3956043956043956,33,Dahlholzliwald,46.93798,7.45656
Log_34,21.137970669223858,27.17759511180551,18.416399954819212,16.10398613233838,22.39135203787232,0.7050250022763006,0.3748130874815576,1.5172730953500264,10,0,69,23,6,91,1,34,Kasernenareal,46.95697,7.45801
Log_36,21.335495131642183,27.870995336046786,18.809612168663495,16.467753830957932,22.50612211450485,0.9025494646946289,0.4895831641140888,1.910485309194312,10,0,72,27,9,91,1,36,Wyttenbachstrasse,46.95518,7.44773
Log_37,21.627609523254623,27.654204153975268,18.70241509665628,16.559535617100277,22.935603084998952,1.0491582332950964,0.8441542671815319,1.4219242041573317,9,0,57,26,7,77,0.8461538461538461,37,Lorraine,46.95898,7.44513
Log_38,20.732723205493695,27.910194021780594,17.068167619682555,14.82768380353271,22.37057645897442,0.29977753854614064,0.3540375085836558,0.16904076021336956,2,4,72,27,9,91,1,38,Spiegel,46.92607,7.43739
Log_39,21.00797950867046,27.900499567108184,17.209617644356317,14.938401953811105,22.70341517504249,0.5750338417229027,0.6868762246517299,0.31049078488713217,1,4,72,26,8,91,1,39,Weyermannshaus Industrie,46.949,7.40134
Log_41,20.909908705782158,27.049419327873256,17.64129320079421,15.439045539976586,22.396580665717888,0.4769630388346006,0.38004171532712655,0.7421663413250232,2,1,71,21,4,91,1,41,Monbijou-Park,46.94187,7.43462
Log_42,21.692184402386715,27.523983201807198,19.290612004843297,16.890923425141782,22.75941014098762,1.2592387354391612,0.7428711905968567,2.460123971663067,15,0,71,25,5,73,0.8021978021978022,42,Gerechtigkeitsgasse,46.9481,7.45351
Log_45,21.699370244584138,27.800594438418237,18.950067846979184,16.493279877534043,22.985979587683712,1.266424577636582,0.9694406372929505,2.0509409875100015,10,0,74,28,7,91,1,45,Zytglogge,46.94819,7.4474
Log_48,20.598351528699542,26.92133061988118,17.213565422983105,14.975786557458012,22.1070647682182,0.1654058617519864,0.09052581782743804,0.3144385635139208,2,4,68,23,6,91,1,48,Viererfeld 1 (Sportplatz),46.96512,7.43823
Log_51,20.923922136715465,26.977871930365783,17.899288401992504,15.6757572699805,22.295302050897398,0.49097646976790826,0.2787631005066354,1.0001615425233181,4,1,70,22,6,91,1,51,Bumpliz Stockacker,46.94302,7.39587
Log_53,21.5105751882949,28.490468087082576,18.780731587987635,16.468615227355325,22.75944618981319,1.0776295213473455,0.7429072394224269,1.8816047285184507,11,0,73,32,9,91,1,53,Waffenweg,46.96173,7.45192
Log_55,22.033017740457602,28.23449384829215,18.97427176486684,16.573361029278455,23.434152059989525,1.6000720735100475,1.417613109598765,2.0751449053976563,11,0,74,29,9,91,1,55,Bollwerk,46.95151,7.44082
Log_57,21.370814025744078,27.61198795200706,18.381491882940267,16.055403375525348,22.75300526982143,0.9378683587965233,0.736466319430667,1.482365023471083,9,0,72,26,7,91,1,57,Eigerplatz,46.94067,7.43141
Log_58,20.502170640057226,26.92983503670458,17.44417387617982,15.016961305253451,21.889417337376223,0.06922497310966931,-0.12712161301454028,0.5450470167106356,1,3,68,25,5,91,1,58,Murifeld,46.93919,7.47992
Log_59,20.672257064162753,27.623685153303413,16.63631277209516,14.41719970696115,22.47011598233261,0.23931139721519654,0.4535770319418497,-0.26281408737402434,0,6,72,27,7,91,1,59,Schlossmatte Familiengarten,46.94211,7.41688
Log_61,20.56966590497845,27.763442037278455,17.017656069910718,14.55034287678504,22.17930691983879,0.13672023803089486,0.16276796944802782,0.11852921044153324,1,5,70,26,7,91,1,61,Westside Center,46.94555,7.37478
Log_62,20.875962922350226,28.326271889232768,16.71430864947352,14.845773127877987,22.662200226513313,0.4430172554026687,0.6456612761225522,-0.18481820999566506,0,1,74,28,9,39,0.42857142857142855,62,Felsenhaldenweg,46.97417,7.44122
Log_65,20.186099486087354,27.11455213112144,16.268651047923647,14.097707783167658,21.93507293671091,-0.2468461808602008,-0.08146601367985361,-0.6304758115455384,0,9,70,21,7,91,1,65,Ostermundigen Rorswil,46.96681,7.50376
Log_69,21.261955981164487,28.960562062754384,17.40157548576089,15.166183874495365,22.993900785212407,0.82901031421693006,0.9773618348216437,0.5024486262917073,2,3,74,37,10,91,1,69,Eisenbahnquartier,46.93716,7.42317
Log_70,21.718991548568084,27.769885656851134,18.892226181196317,16.313018324772692,23.031579835475284,1.2860458816205296,1.0150408850845223,1.993099321727132,9,0,72,27,8,92,1.010989010989011,70,Bundesplatz,46.94692,7.44353
Log_71,21.368128707953915,27.639649075668164,18.681721812000745,16.281663495907548,22.624055476340757,0.9351830410063574,0.6075165259499956,1.7825949525315599,10,0,71,27,8,91,1,71,Hirschengraben,46.94658,7.43786
