Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,Log_NR,NORD_CHTOPO,OST_CHTOPO
VonRoll,20.16107087670246,26.879599241478942,16.539852330102505,14.961785305561914,22.04975176353591,0.5017432848681418,0.5645021486119132,1.1741147241505054,6,9,92,31,7,74,1,46.95291,7.42252
Europaplatz,16.69830045572242,22.033523086654014,13.348739451261963,12.169346203529043,18.00486139796922,0.8793659213762764,0.8378907709002741,0.6840990116437046,0,8,12,1,0,28,2,46.94333,7.40633
Brunnhof,21.13068620750038,27.98221893250836,16.9870334595757,15.537636377508202,22.93192226411885,1.5235777258563823,1.4946808444671094,1.6392637308141504,9,5,96,45,9,124,7,46.94479,7.42713
Wankdorf ESP,20.54386810286623,26.551364823280593,16.911991416705533,15.488842012073873,22.110820072468382,0.9232496735474256,0.6926998199576432,1.4033407508777058,9,6,77,31,7,110,8,46.968,7.46247
Bremgartenfriedhof,19.645898124459606,26.121495039587316,15.457394165967473,13.97034561684596,21.576751999162145,-0.0212096574843767,0.08339804113232191,0.0460803529641599,0,13,87,26,6,100,9,46.9503,7.42015
Hintere Langgasse,19.98153603017169,25.770045309450502,16.670310375421085,15.377328939231255,21.78244886795429,0.35221439475283634,0.30894984310638146,1.3138277864185532,8,7,81,27,2,8,10,46.95789,7.43541
Egelsee,19.872996664711735,26.13600956888341,15.702417457783676,14.370040436408027,21.662653695260797,0.22362391249936317,0.18420318368651759,0.2966901178988685,2,10,87,27,4,124,13,46.94469,7.46442
Helvetiaplatz,20.942386863804526,27.241934868587826,16.76127737891841,15.264493781948577,22.769800675672258,1.3387818964531795,1.3373202940452682,1.4077914246782013,7,7,94,38,9,124,14,46.94381,7.44885
Bubenbergplatz,22.12511884465308,28.07819253568455,18.21304759892903,16.71736559621311,23.823837984797663,1.5568575967607845,1.4388622565541374,1.8023063911758015,9,0,70,33,7,92,16,46.94728,7.43843
Rosengarten,19.923180739721328,26.74973296711681,15.996800448665484,14.554699015793087,21.630976424929855,0.2896238831893479,0.16405058681717477,0.6264375432779192,2,10,90,36,8,124,17,46.95188,7.4602
Galgenfeld Neubausiedlung,20.459793291626294,26.72498970016022,16.384771106920606,14.932646677347982,22.258206895567476,0.8685585018930776,0.8138800820490335,1.034818350120535,4,10,88,32,7,124,19,46.95063,7.46987
Gaswerk,21.152981080763958,27.401719073514286,16.78955248883111,15.39272575888755,23.100204275358813,1.0087243849530823,1.0547967045234439,0.9556190446451949,5,0,91,29,7,115,21,46.93964,7.44166
Matte Muhleplatz,21.159888941753078,27.926773280789224,17.14404500297701,15.791103990234227,22.914268457254174,0.9914054816008301,0.8688608864188054,1.3101115587910925,8,1,92,37,8,114,22,46.94701,7.45583
Ostermundigen Ahornstrasse,19.951655938923857,26.860982311840264,15.814013398719865,14.41039444571603,21.73875601710754,0.32077338613748246,0.27941802969348495,0.4273160467977218,2,11,92,35,9,124,23,46.95566,7.49879
Liebefeld,19.665643147729146,25.873606691327215,15.403309105592156,14.085041580834668,21.55444083166566,0.019336940528240962,0.08273325527642762,-0.007029517487850133,1,14,80,23,5,108,25,46.92781,7.42031
Inselspital,20.5387374292284,26.583031229311104,16.773442010215607,15.272120241092546,22.190582547558922,0.9165719348079706,0.7279626604562631,1.431776952211995,9,6,90,29,8,124,26,46.94719,7.42571
Parkli bei Eigerplatz,20.75457450951033,27.436856641489282,16.655575180824293,15.242340733958953,22.56143619871523,1.1475174614732553,1.1007271079439274,1.2904189647382656,8,6,95,37,9,124,28,46.94195,7.43094
Galgenfeld Industrie,20.984175519179267,27.45866788738842,16.823220699164864,15.371947814145113,22.82445786194355,1.4004231555717297,1.3856635358097322,1.4948650813850552,9,7,93,41,9,122,30,46.95553,7.47194
Weiermatt,19.331082038722716,26.437576867322804,14.342800417310748,13.004513817168386,21.421310718110384,-0.32964714778828685,-0.08026480587367657,-1.0439014954759673,1,26,87,29,6,119,31,46.92041,7.40995
Bremgartenwald,16.61654802405741,21.29074635690852,14.214583560684781,13.418724515314123,18.824982550873653,-2.800241983815418,-1.9446781881135637,-0.7534819841753602,0,13,32,11,0,13,32,46.95739,7.42128
Dahlholzliwald,19.404889154426286,23.788847465385942,14.843797270503758,14.211999900229472,20.518975709435843,-0.47797815104794245,-1.342873240509834,-0.176447059916837,1,9,48,8,0,67,33,46.93798,7.45656
Kasernenareal,20.34629214632015,26.277805752651254,16.74125098649962,15.259473563744564,21.953754836639003,0.7341317795922083,0.48405473682161804,1.4031613197189408,10,6,89,27,6,124,34,46.95697,7.45801
Wyttenbachstrasse,20.570904613403957,26.989405661097123,17.06709526007042,15.61449912260624,22.13003487522194,0.9610926859000711,0.6608843676240751,1.740103857632397,10,6,93,35,9,124,36,46.95518,7.44773
Lorraine,21.562062970745018,27.656778333487548,17.7482320922807,16.375814122142728,23.25513245873629,1.0386336793011666,0.8744554076915109,1.3734753443977612,9,0,69,32,7,93,37,46.95898,7.44513
Spiegel,19.93621815098967,26.99426565957122,15.517865064953583,14.061863126573586,21.873726837622833,0.3453377827160754,0.43151604978255803,0.1459720451951825,2,13,93,35,9,124,38,46.92607,7.43739
Weyermannshaus Industrie,20.23883911207623,27.02107576104372,15.711186961477708,14.249405661097123,22.205706904161932,0.6041611990846258,0.7282843307844106,0.3024078744454949,1,11,93,33,8,124,39,46.949,7.40134
Monbijou-Park,20.148265080424412,26.148241397726405,16.069978038236297,14.692082093537804,21.925478709261263,0.4991302121103223,0.4452023270476101,0.6688461831836404,2,8,86,22,4,124,41,46.94187,7.43462
Gerechtigkeitsgasse,20.902588266676183,26.615245003445686,17.385381727163228,15.964026540609492,22.312125132668,1.2550850447114177,0.8031514619006229,2.127158092895303,9,3,90,30,5,97,42,46.9481,7.45351
Zytglogge,20.889344547430635,26.746758220798046,17.188603925130295,15.645517662317845,22.552625646401992,1.2934307868351655,1.1049704468784805,1.8576827935320674,9,5,91,34,7,124,45,46.94819,7.4474
Viererfeld 1 (Sportplatz),19.9107691135162,26.112419913395748,15.890467752144215,14.363211862835039,21.67744224320873,0.22569581277531886,0.1502300309712907,0.41705715807659427,2,10,82,28,6,122,48,46.96512,7.43823
Bumpliz Stockacker,20.17567304542053,26.112342702865003,16.333650776251538,14.91284351873045,21.83980095424199,0.5560911637304828,0.3841331776835863,0.9862137053451356,4,8,86,27,6,124,51,46.94302,7.39587
Waffenweg,20.708835972093905,27.454288548104067,17.07208492313695,15.599139391165027,22.329066308387212,1.1118596941031593,0.8728916852743939,1.7486497975780977,10,6,93,40,9,124,53,46.96173,7.45192
Bollwerk,21.211501483517015,27.287083237964445,17.243967402321346,15.727122911421377,22.972703455350526,1.625163334687158,1.528862585715392,1.91847201684172,10,6,95,35,9,124,55,46.95151,7.44082
Eigerplatz,20.67505291627078,26.84806136587935,16.709184458252533,15.266437781338217,22.409741574855147,1.0414649486807417,0.9405971654592294,1.3408919569763913,7,5,92,31,7,124,57,46.94067,7.43141
Murifeld,19.709934767131926,25.990371557183185,15.759104196082353,14.18687724116884,21.441548700478794,0.07674707413896913,-0.0328990731815936,0.36781793321356965,1,10,83,29,5,124,58,46.93919,7.47992
