Sommerzeit,Log_1,Log_13,Log_14,Log_25,Log_26,Log_32,Log_33,Log_34,Log_37,Log_39,Log_45,Log_51,Log_57,Log_58,Log_59,Log_71,Log_76,Log_83,Log_86,Log_98,Log_99,Log_101,Log_102,Log_110,Log_119,Log_131,Log_132,Log_133,Log_141
5/15/23 00:00,10.259,9.472,10.455,9.768,11.041,NA,9.275,9.866,10.357,NA,10.651,10.455,10.748,9.571,9.866,10.651,9.373,9.866,9.472,8.581,8.879,NA,10.063,10.161,NA,9.965,9.866,9.768,NA
5/15/23 00:10,10.161,9.373,10.455,9.669,10.944,NA,9.275,9.866,10.259,NA,10.651,10.553,10.748,9.669,9.965,10.651,9.176,9.768,9.373,8.581,8.879,NA,10.063,10.063,NA,9.866,9.768,9.768,NA
5/15/23 00:20,10.357,9.373,10.455,9.768,10.748,NA,9.176,9.965,10.357,NA,10.651,10.553,10.651,9.472,9.866,10.553,9.077,9.669,9.275,8.581,8.879,NA,10.063,10.063,NA,9.866,9.768,9.669,NA
5/15/23 00:30,10.455,9.373,10.357,9.669,10.846,NA,9.176,9.965,10.357,NA,10.651,10.455,10.553,9.176,9.866,10.553,9.077,9.768,9.176,8.581,8.879,NA,10.063,10.161,NA,9.866,9.866,9.669,NA
5/15/23 00:40,10.357,9.275,10.357,9.571,10.846,NA,9.077,9.866,10.357,NA,10.651,10.259,10.553,9.077,9.866,10.553,9.077,9.669,9.176,8.581,8.879,NA,10.161,10.063,NA,9.965,9.866,9.768,NA
5/15/23 00:50,10.455,9.373,10.357,9.571,10.846,NA,9.077,9.768,10.357,NA,10.651,10.063,10.455,9.176,9.768,10.455,9.176,9.669,9.176,8.779,9.077,NA,10.063,10.161,NA,9.965,9.866,9.768,NA
5/15/23 01:00,10.259,9.373,10.259,9.373,10.651,NA,8.978,9.866,10.259,NA,10.553,10.063,10.455,9.275,9.669,10.357,9.176,9.768,9.373,8.779,9.176,NA,10.063,10.161,NA,9.965,9.866,9.669,NA
5/15/23 01:10,10.161,9.472,10.357,9.176,10.651,NA,9.077,9.866,10.259,NA,10.455,10.259,10.455,9.275,9.669,10.357,9.275,9.866,9.472,8.879,9.176,NA,9.965,10.161,NA,9.965,9.965,9.768,NA
5/15/23 01:20,10.357,9.472,10.357,9.176,10.748,NA,9.176,9.965,10.259,NA,10.357,10.455,10.357,9.275,9.669,10.357,9.275,9.866,9.571,8.978,9.176,NA,9.965,9.965,NA,10.063,9.965,9.866,NA
5/15/23 01:30,10.455,9.669,10.455,9.275,10.651,NA,9.275,10.161,10.259,NA,10.455,10.357,10.161,9.275,9.669,10.455,9.373,9.866,9.669,8.978,9.176,NA,10.063,10.063,NA,10.063,9.965,9.866,NA
5/15/23 01:40,10.455,9.866,10.357,9.373,10.357,NA,9.275,10.259,10.259,NA,10.357,10.357,10.063,9.373,9.669,10.357,9.571,9.866,9.669,9.077,9.275,NA,10.063,10.161,NA,10.063,10.063,9.965,NA
