Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days
VonRoll,20.115738969467937,26.732584115358204,16.539852330102505,14.961785305561914,22.236475166767498,0.5139481524030645,0.5653169411250049,1.1741147241505054,6,9,92,31,7
Europaplatz,16.710452904604367,21.617444399938964,13.348739451261963,12.169346203529043,17.97208131074032,1.2271454694450286,0.845497172010367,0.6840990116437046,0,8,12,1,0
Brunnhof,21.066505541231308,27.837897306782637,16.9870334595757,15.537636377508202,23.083849748696636,1.5233139375292086,1.463701922058195,1.6392637308141504,9,5,96,45,9
Wankdorf ESP,20.461881130271436,26.393410963607234,16.911991416705533,15.488842012073873,22.217578812625835,0.9068612002746126,0.626707320567018,1.4033407508777058,9,6,77,31,7
Bremgartenfriedhof,19.584340086189023,25.98923933775845,15.457394165967473,13.97034561684596,21.77634124058118,-0.026440381744969977,0.09457823784258831,0.0460803529641599,0,13,87,26,6
Hintere Langgasse,19.97232325034493,25.668508209107667,16.670310375421085,15.377328939231255,21.917954813848226,0.3711443518831275,0.24908010876992873,1.3138277864185532,8,7,81,27,2
Egelsee,19.816580512362417,26.00498359655146,15.702417457783676,14.370040436408027,21.847501878114734,0.22369024456029699,0.1796152424102336,0.2966901178988685,2,10,87,27,4
Helvetiaplatz,20.8648904557882,27.097938506141755,16.76127737891841,15.264493781948577,22.923772775815753,1.3239587993528945,1.306532854450454,1.4077914246782013,7,7,94,38,9
Bubenbergplatz,22.114222157544162,28.073316283034952,18.21304759892903,16.71736559621311,24.064284219342092,1.5238539291976778,1.3912670308617048,1.8023063911758015,9,0,70,33,7
Rosengarten,19.862514486477668,26.608947890440223,15.996800448665484,14.554699015793087,21.774215279736822,0.2879459968533776,0.11546187003826228,0.6264375432779192,2,10,90,36,8
Galgenfeld Neubausiedlung,20.414472590454988,26.658957808804455,16.384771106920606,14.932646677347982,22.42044164493646,0.8659771713304596,0.7873171772208319,1.034818350120535,4,10,88,32,7
Gaswerk,21.19374454218816,27.479446760940885,16.78955248883111,15.39272575888755,23.393331924616323,1.0047589326818294,1.0518184037903002,0.9556190446451949,5,0,91,29,7
Matte Muhleplatz,21.180210243577893,27.91841399053277,17.14404500297701,15.791103990234227,23.17398924618415,0.9912246340715614,0.8324757253581275,1.3101115587910925,8,1,92,37,8
Ostermundigen Ahornstrasse,19.891256323168754,26.713218890669108,15.814013398719865,14.41039444571603,21.913337019937902,0.3195748322974273,0.2681674648920283,0.4273160467977218,2,11,92,35,9
Liebefeld,19.62219010905789,25.739382009613184,15.403309105592156,14.085041580834668,21.74486265474535,0.033573605904702375,0.0834480492778673,-0.007029517487850133,1,14,80,23,5
Inselspital,20.474429713174583,26.43648737315938,16.773442010215607,15.272120241092546,22.41840081118674,0.9137969824564887,0.6658697866277462,1.431776952211995,9,6,90,29,8
Parkli bei Eigerplatz,20.711263891326624,27.368474860761424,16.655575180824293,15.242340733958953,22.709392415523812,1.1458043114113052,1.0641104255614466,1.2904189647382656,8,6,95,37,9
Galgenfeld Industrie,20.942930072930782,27.386782635233082,16.823220699164864,15.371947814145113,22.986095159531224,1.4052423647124759,1.361860392923907,1.4948650813850552,9,7,93,41,9
Weiermatt,19.323909597044402,26.387716487373158,14.342800417310748,13.004513817168386,21.68100030711498,-0.3008835634529652,-0.009051780778214474,-1.0439014954759673,1,26,87,29,6
Bremgartenwald,16.727186452794815,21.327960551412865,14.214583560684781,13.418724515314123,19.119086405867012,-2.698186577566743,-1.959751682546182,-0.7534819841753602,0,13,32,11,0
Dahlholzliwald,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
Kasernenareal,20.29890384419266,26.19916990920882,16.74125098649962,15.259473563744564,22.073342753738174,0.7317489788062347,0.410863480000418,1.4031613197189408,10,6,89,27,6
Wyttenbachstrasse,20.523408342041193,26.908889906157015,17.06709526007042,15.61449912260624,22.231479557132083,0.9590593282965353,0.5708663020214755,1.740103857632397,10,6,93,35,9
Lorraine,21.581783370549545,27.751271380063677,17.7482320922807,16.375814122142728,23.498929855746706,1.0063281568744586,0.8302129211644788,1.3734753443977612,9,0,69,32,7
Spiegel,19.896423936227603,26.92891737239643,15.517865064953583,14.061863126573586,22.069768862143956,0.3442356309412941,0.4415714021958506,0.1459720451951825,2,13,93,35,9
Weyermannshaus Industrie,20.196514177336915,26.954296177615014,15.711186961477708,14.249405661097123,22.412306742399632,0.6041588347898668,0.7470091756380639,0.3024078744454949,1,11,93,33,8
Monbijou-Park,20.08703446468499,26.014062714579996,16.069978038236297,14.692082093537804,22.086693283942843,0.49627784532650315,0.41829225401304077,0.6688461831836404,2,8,86,22,4
Gerechtigkeitsgasse,20.929486658423528,26.466355087284064,17.385381727163228,15.964026540609492,22.406446820020278,1.3465269006554412,0.7027999496882097,2.127158092895303,9,3,90,30,5
Zytglogge,20.840638553380195,26.66286717021439,17.188603925130295,15.645517662317845,22.667170397165982,1.293224280405383,1.0311153907896349,1.8576827935320674,9,5,91,34,7
Viererfeld 1 (Sportplatz),19.94078559395546,26.11198571358568,15.890467752144215,14.363211862835039,21.94647880924213,0.22437597284538707,0.1294749598471533,0.41705715807659427,2,10,82,28,6
Bumpliz Stockacker,20.11503123077164,25.9793057145037,16.333650776251538,14.91284351873045,21.984125588876626,0.5546961623613079,0.3365090800573336,0.9862137053451356,4,8,86,27,6
Waffenweg,20.66165742825141,27.376186770428017,17.07208492313695,15.599139391165027,22.446805785767435,1.1098322769849795,0.8018920623429434,1.7486497975780977,10,6,93,40,9
Bollwerk,21.164309906842384,27.213232623788816,17.243967402321346,15.727122911421377,23.11218930493924,1.6234257747753615,1.4827444562850716,1.91847201684172,10,6,95,35,9
Eigerplatz,20.611149967406934,26.708796826123447,16.709184458252533,15.266437781338217,22.55197879919679,1.0383576296745716,0.8951480288918479,1.3408919569763913,7,5,92,31,7
Murifeld,19.66260196849217,25.906800946059356,15.759104196082353,14.18687724116884,21.590824900752395,0.07532178042020399,-0.07474532600287048,0.36781793321356965,1,10,83,29,5
Schlossmatte Familiengarten,19.86745254004026,26.651053635461967,15.247241019466241,13.738176546883345,22.16515621210779,0.2741239849634573,0.5073791592509196,-0.18584864261736378,0,14,91,33,7
Westside Center,19.815377287163823,26.861881437399862,15.446719984628366,13.872162966353857,21.98646859103247,0.2107977213079016,0.30567778315855215,0.024360433580436058,1,13,91,33,7
Felsenhaldenweg,20.010066383378117,27.317674525062944,15.305666431373174,14.136226443884947,22.41490969876948,0.41610515917772356,0.7509401029865199,-0.13409660031815554,0,10,94,36,9
Ostermundigen Rorswil,19.443823867347533,26.132112611581597,14.917404965918813,13.476655222400243,21.688637191785414,-0.1518541295022837,0.023789466549259734,-0.511407984045594,0,21,85,26,7
Eisenbahnquartier,20.446704831880176,27.970516517891202,15.766158315163546,14.391723506523231,22.76712431989041,0.883953168324397,1.1404215609383028,0.36307891925404373,2,10,96,47,10
