 

stn;time;tre200s0;ure200s0
BER;202305010000;11.3;95.2
BER;202305010010;11.2;96.6
BER;202305010020;11.3;95.6
BER;202305010030;11.1;96.5
BER;202305010040;11.1;96.6
BER;202305010050;11.0;97.3
BER;202305010100;11.1;97.0
BER;202305010110;11.1;97.5
BER;202305010120;11.1;97.1
BER;202305010130;11.0;96.9
BER;202305010140;11.0;96.6
BER;202305010150;11.0;96.4
BER;202305010200;11.0;95.6
BER;202305010210;11.0;94.1
BER;202305010220;10.8;94.6
BER;202305010230;10.8;95.4
BER;202305010240;10.7;95.6
BER;202305010250;10.6;95.3
BER;202305010300;10.5;94.4
BER;202305010310;10.5;93.3
BER;202305010320;10.6;92.6
BER;202305010330;10.4;94.7
BER;202305010340;10.3;94.7
BER;202305010350;10.3;92.7
BER;202305010400;10.1;93.3
BER;202305010410;10.1;92.4
BER;202305010420;10.0;94.3
BER;202305010430;9.9;94.1
BER;202305010440;9.9;94.1
BER;202305010450;10.0;91.9
BER;202305010500;10.0;92.0
BER;202305010510;10.0;92.0
BER;202305010520;10.0;90.1
BER;202305010530;9.9;90.4
BER;202305010540;9.9;91.6
BER;202305010550;10.0;90.8
BER;202305010600;10.0;89.5
BER;202305010610;10.1;91.3
BER;202305010620;10.1;90.4
BER;202305010630;10.1;90.5
BER;202305010640;10.0;90.2
BER;202305010650;10.1;90.6
BER;202305010700;10.1;91.4
BER;202305010710;10.1;88.4
BER;202305010720;10.3;91.2
BER;202305010730;10.1;87.7
BER;202305010740;10.1;84.8
BER;202305010750;10.2;89.0
BER;202305010800;10.1;87.7
BER;202305010810;10.4;86.8
BER;202305010820;10.6;89.2
BER;202305010830;10.5;88.4
BER;202305010840;10.5;87.1
BER;202305010850;10.8;89.2
BER;202305010900;10.5;86.9
BER;202305010910;10.3;89.3
BER;202305010920;10.4;91.6
BER;202305010930;10.4;90.6
BER;202305010940;10.6;90.2
BER;202305010950;10.8;88.7
BER;202305011000;10.9;87.8
BER;202305011010;10.8;87.6
BER;202305011020;11.1;87.0
BER;202305011030;11.1;85.8
BER;202305011040;11.0;86.3
BER;202305011050;10.9;84.4
BER;202305011100;10.8;86.5
BER;202305011110;10.8;87.5
BER;202305011120;10.5;93.8
BER;202305011130;10.5;93.9
BER;202305011140;10.5;93.3
BER;202305011150;10.6;91.9
BER;202305011200;10.6;91.9
BER;202305011210;10.8;90.0
BER;202305011220;11.1;91.0
BER;202305011230;10.8;88.8
BER;202305011240;11.1;90.7
BER;202305011250;10.9;90.8
BER;202305011300;10.9;90.7
BER;202305011310;11.1;89.3
BER;202305011320;11.3;90.2
BER;202305011330;11.0;88.4
BER;202305011340;10.9;90.4
BER;202305011350;10.8;88.3
BER;202305011400;10.7;87.3
BER;202305011410;10.8;88.4
BER;202305011420;11.0;89.8
BER;202305011430;11.2;89.2
BER;202305011440;11.3;88.3
BER;202305011450;11.6;87.8
BER;202305011500;11.6;84.3
BER;202305011510;11.8;86.1
BER;202305011520;11.8;86.2
BER;202305011530;11.6;81.7
BER;202305011540;11.4;81.1
BER;202305011550;11.1;82.5
BER;202305011600;10.0;80.8
BER;202305011610;9.4;89.4
BER;202305011620;9.2;93.1
BER;202305011630;9.0;91.1
BER;202305011640;9.1;90.8
BER;202305011650;9.2;92.9
BER;202305011700;9.5;90.7
BER;202305011710;9.4;92.8
BER;202305011720;9.4;91.3
BER;202305011730;9.4;90.9
BER;202305011740;9.4;91.4
BER;202305011750;9.5;90.2
BER;202305011800;9.5;88.3
BER;202305011810;9.5;87.4
BER;202305011820;9.4;87.7
BER;202305011830;9.3;88.8
BER;202305011840;9.3;88.1
BER;202305011850;9.3;88.1
BER;202305011900;9.1;90.2
BER;202305011910;9.3;90.1
BER;202305011920;9.4;90.6
BER;202305011930;9.4;91.1
BER;202305011940;9.4;91.4
BER;202305011950;9.5;91.3
BER;202305012000;9.5;90.3
BER;202305012010;9.4;90.6
BER;202305012020;9.2;91.9
BER;202305012030;9.4;91.1
BER;202305012040;9.4;90.9
BER;202305012050;9.4;91.0
BER;202305012100;9.5;89.8
BER;202305012110;9.4;90.8
BER;202305012120;9.4;90.2
BER;202305012130;9.4;87.7
BER;202305012140;9.3;89.3
BER;202305012150;9.2;90.3
BER;202305012200;9.2;90.9
BER;202305012210;9.4;90.0
BER;202305012220;9.4;89.9
BER;202305012230;9.4;89.3
BER;202305012240;9.5;88.0
BER;202305012250;8.8;95.8
BER;202305012300;9.1;93.3
BER;202305012310;9.2;92.1
BER;202305012320;9.4;89.1
BER;202305012330;9.3;90.0
BER;202305012340;9.3;91.1
BER;202305012350;8.8;93.3
BER;202305020000;8.8;93.3
BER;202305020010;8.6;94.2
BER;202305020020;8.6;94.9
BER;202305020030;8.5;95.7
BER;202305020040;7.9;96.4
BER;202305020050;8.2;95.2
BER;202305020100;7.9;96.2
BER;202305020110;7.8;96.9
BER;202305020120;8.3;94.1
BER;202305020130;7.5;97.1
BER;202305020140;7.8;94.2
BER;202305020150;7.9;91.8
BER;202305020200;7.8;92.1
BER;202305020210;8.1;92.2
BER;202305020220;8.4;91.0
BER;202305020230;8.5;91.3
BER;202305020240;8.4;91.9
BER;202305020250;8.5;92.8
BER;202305020300;8.6;91.9
BER;202305020310;8.6;91.6
BER;202305020320;8.2;94.1
BER;202305020330;8.6;92.9
BER;202305020340;8.5;93.0
BER;202305020350;8.3;94.4
BER;202305020400;8.6;92.2
BER;202305020410;8.6;92.8
BER;202305020420;8.4;93.5
BER;202305020430;8.6;91.2
BER;202305020440;8.4;91.0
BER;202305020450;8.6;90.9
BER;202305020500;8.3;91.7
BER;202305020510;7.6;95.2
BER;202305020520;7.9;95.8
BER;202305020530;8.4;95.1
BER;202305020540;8.5;95.6
BER;202305020550;8.6;94.6
BER;202305020600;8.8;94.3
BER;202305020610;8.9;92.7
BER;202305020620;9.3;91.8
BER;202305020630;9.6;89.2
BER;202305020640;9.9;89.5
BER;202305020650;10.3;89.0
BER;202305020700;10.7;87.9
BER;202305020710;10.6;87.8
BER;202305020720;11.0;83.9
BER;202305020730;11.9;78.0
BER;202305020740;11.9;76.9
BER;202305020750;12.2;74.6
BER;202305020800;12.2;71.4
BER;202305020810;12.8;70.3
BER;202305020820;13.0;72.7
BER;202305020830;12.7;67.6
BER;202305020840;13.5;69.9
BER;202305020850;12.6;70.8
BER;202305020900;13.7;63.8
BER;202305020910;13.6;64.4
BER;202305020920;13.8;64.9
BER;202305020930;13.1;64.5
BER;202305020940;13.6;62.8
BER;202305020950;14.1;63.6
BER;202305021000;14.4;63.8
BER;202305021010;13.5;62.5
BER;202305021020;13.5;61.4
BER;202305021030;14.1;54.9
BER;202305021040;14.0;60.7
BER;202305021050;14.5;62.5
BER;202305021100;14.0;58.5
BER;202305021110;13.8;60.1
BER;202305021120;14.9;59.0
BER;202305021130;15.4;55.1
BER;202305021140;14.8;58.1
BER;202305021150;14.3;57.6
BER;202305021200;14.7;59.1
BER;202305021210;15.2;53.6
BER;202305021220;15.6;49.0
BER;202305021230;14.6;49.1
BER;202305021240;16.0;55.8
BER;202305021250;15.9;51.2
BER;202305021300;15.7;51.2
BER;202305021310;16.6;48.7
BER;202305021320;16.0;50.0
BER;202305021330;16.1;57.2
BER;202305021340;16.4;56.3
BER;202305021350;16.3;50.5
BER;202305021400;16.4;49.5
BER;202305021410;15.7;53.0
BER;202305021420;15.4;54.7
BER;202305021430;15.2;54.7
BER;202305021440;14.9;57.8
BER;202305021450;14.8;60.2
BER;202305021500;14.9;54.9
BER;202305021510;15.0;52.0
BER;202305021520;15.4;54.4
BER;202305021530;15.0;58.1
BER;202305021540;15.6;56.8
BER;202305021550;15.5;54.1
BER;202305021600;15.2;51.2
BER;202305021610;15.3;55.1
BER;202305021620;14.7;54.5
BER;202305021630;15.1;51.2
BER;202305021640;15.1;49.9
BER;202305021650;14.9;54.1
BER;202305021700;14.9;51.8
BER;202305021710;15.1;51.3
BER;202305021720;15.0;53.8
BER;202305021730;15.1;53.2
BER;202305021740;14.5;57.5
BER;202305021750;13.9;58.3
BER;202305021800;13.6;58.0
BER;202305021810;14.0;55.8
BER;202305021820;13.7;58.1
BER;202305021830;13.1;64.9
BER;202305021840;13.0;64.5
BER;202305021850;12.8;68.0
BER;202305021900;12.5;69.7
BER;202305021910;12.0;73.2
BER;202305021920;11.7;76.3
BER;202305021930;11.2;79.6
BER;202305021940;10.7;82.2
BER;202305021950;10.6;84.7
BER;202305022000;10.5;84.4
BER;202305022010;10.6;83.2
BER;202305022020;10.1;85.3
BER;202305022030;9.7;87.6
BER;202305022040;9.9;88.1
BER;202305022050;10.0;87.1
BER;202305022100;9.6;88.7
BER;202305022110;9.4;90.7
BER;202305022120;9.2;90.6
BER;202305022130;9.4;90.1
BER;202305022140;9.1;92.1
BER;202305022150;9.1;90.4
BER;202305022200;9.2;91.8
BER;202305022210;8.9;92.7
BER;202305022220;8.9;92.3
BER;202305022230;8.8;91.8
BER;202305022240;8.8;91.3
BER;202305022250;8.9;91.3
BER;202305022300;8.7;92.4
BER;202305022310;8.4;92.8
BER;202305022320;8.7;91.3
BER;202305022330;8.6;92.2
BER;202305022340;8.5;93.8
BER;202305022350;8.2;93.4
BER;202305030000;8.4;92.8
BER;202305030010;8.2;92.0
BER;202305030020;8.2;91.7
BER;202305030030;8.1;91.8
BER;202305030040;7.9;92.6
BER;202305030050;7.8;92.8
BER;202305030100;7.6;93.7
BER;202305030110;7.5;93.2
BER;202305030120;7.3;95.9
BER;202305030130;7.2;94.6
BER;202305030140;7.3;92.4
BER;202305030150;7.6;92.3
BER;202305030200;7.5;92.5
BER;202305030210;7.5;91.8
BER;202305030220;7.6;92.2
BER;202305030230;6.4;95.4
BER;202305030240;6.5;94.2
BER;202305030250;6.3;94.7
BER;202305030300;5.2;96.8
BER;202305030310;5.6;95.1
BER;202305030320;7.0;91.3
BER;202305030330;6.9;93.1
BER;202305030340;6.5;93.9
BER;202305030350;6.0;93.8
BER;202305030400;5.6;95.5
BER;202305030410;5.0;96.6
BER;202305030420;5.2;95.0
BER;202305030430;5.5;94.9
BER;202305030440;5.1;95.7
BER;202305030450;5.5;94.5
BER;202305030500;5.6;95.4
BER;202305030510;6.4;93.1
BER;202305030520;6.2;94.8
BER;202305030530;7.0;92.4
BER;202305030540;7.5;92.1
BER;202305030550;7.3;92.4
BER;202305030600;8.2;88.7
BER;202305030610;8.9;88.6
BER;202305030620;9.1;86.7
BER;202305030630;9.4;84.0
BER;202305030640;9.6;86.0
BER;202305030650;9.6;84.7
BER;202305030700;10.1;82.9
BER;202305030710;10.5;79.8
BER;202305030720;11.0;80.0
BER;202305030730;11.0;79.9
BER;202305030740;10.8;77.7
BER;202305030750;11.4;77.2
BER;202305030800;12.0;75.4
BER;202305030810;11.9;73.1
BER;202305030820;12.1;73.0
BER;202305030830;12.4;70.8
BER;202305030840;12.5;67.7
BER;202305030850;12.8;66.8
BER;202305030900;13.4;69.2
BER;202305030910;13.2;64.0
BER;202305030920;13.9;65.5
BER;202305030930;14.0;63.9
BER;202305030940;14.3;64.9
BER;202305030950;15.0;66.7
BER;202305031000;14.5;61.7
BER;202305031010;14.4;63.1
BER;202305031020;14.6;61.0
BER;202305031030;15.0;63.4
BER;202305031040;15.0;58.4
BER;202305031050;15.0;60.4
BER;202305031100;15.5;59.0
BER;202305031110;15.6;58.1
BER;202305031120;15.5;54.7
BER;202305031130;15.7;55.9
BER;202305031140;15.7;55.7
BER;202305031150;16.3;55.9
BER;202305031200;16.2;58.0
BER;202305031210;16.7;58.1
BER;202305031220;16.7;50.5
BER;202305031230;16.7;48.5
BER;202305031240;16.6;52.0
BER;202305031250;17.7;55.9
BER;202305031300;17.2;52.9
BER;202305031310;17.3;54.5
BER;202305031320;17.4;54.0
BER;202305031330;17.7;53.9
BER;202305031340;17.2;53.2
BER;202305031350;17.8;52.2
BER;202305031400;17.7;49.0
BER;202305031410;17.6;51.4
BER;202305031420;17.6;54.9
BER;202305031430;17.6;50.8
BER;202305031440;17.8;52.0
BER;202305031450;17.8;51.6
BER;202305031500;18.0;53.6
BER;202305031510;17.7;50.8
BER;202305031520;17.8;50.4
BER;202305031530;18.0;51.9
BER;202305031540;17.6;51.8
BER;202305031550;17.6;50.5
BER;202305031600;17.6;52.9
BER;202305031610;17.5;52.6
BER;202305031620;17.4;51.3
BER;202305031630;17.3;52.9
BER;202305031640;17.2;53.0
BER;202305031650;17.1;52.4
BER;202305031700;17.0;53.5
BER;202305031710;16.8;55.7
BER;202305031720;16.8;54.3
BER;202305031730;16.5;54.4
BER;202305031740;16.2;55.4
BER;202305031750;16.2;56.3
BER;202305031800;15.9;56.6
BER;202305031810;15.8;56.9
BER;202305031820;15.2;60.1
BER;202305031830;14.5;63.9
BER;202305031840;14.3;64.5
BER;202305031850;13.9;66.3
BER;202305031900;13.7;66.8
BER;202305031910;13.2;69.2
BER;202305031920;13.2;69.1
BER;202305031930;13.1;70.0
BER;202305031940;12.5;72.8
BER;202305031950;12.6;71.7
BER;202305032000;12.5;72.7
BER;202305032010;11.9;75.6
BER;202305032020;12.1;74.5
BER;202305032030;11.8;76.1
BER;202305032040;11.7;75.9
BER;202305032050;11.7;75.0
BER;202305032100;11.2;77.2
BER;202305032110;11.6;74.8
BER;202305032120;11.4;76.3
BER;202305032130;10.9;78.3
BER;202305032140;11.7;74.3
BER;202305032150;11.2;76.6
BER;202305032200;10.7;78.1
BER;202305032210;10.2;81.1
BER;202305032220;9.8;82.1
BER;202305032230;10.0;80.7
BER;202305032240;10.0;81.1
BER;202305032250;9.3;85.8
BER;202305032300;9.1;87.2
BER;202305032310;9.2;85.8
BER;202305032320;9.3;85.6
BER;202305032330;8.7;88.0
BER;202305032340;8.7;87.8
BER;202305032350;8.1;89.3
BER;202305040000;8.1;90.6
BER;202305040010;7.2;93.5
BER;202305040020;8.3;90.1
BER;202305040030;8.2;90.8
BER;202305040040;8.2;90.8
BER;202305040050;6.9;93.6
BER;202305040100;6.7;92.4
BER;202305040110;6.5;95.3
BER;202305040120;6.9;94.4
BER;202305040130;6.9;94.8
BER;202305040140;6.8;95.3
BER;202305040150;7.0;93.9
BER;202305040200;6.8;95.2
BER;202305040210;6.7;95.4
BER;202305040220;6.7;94.9
BER;202305040230;6.1;96.2
BER;202305040240;6.6;95.3
BER;202305040250;6.6;95.6
BER;202305040300;6.4;95.6
BER;202305040310;6.3;95.8
BER;202305040320;6.3;95.7
BER;202305040330;6.2;95.9
BER;202305040340;5.9;96.1
BER;202305040350;6.5;95.5
BER;202305040400;6.8;96.3
BER;202305040410;5.4;97.8
BER;202305040420;6.1;96.5
BER;202305040430;6.3;97.0
BER;202305040440;6.3;96.4
BER;202305040450;6.3;95.0
BER;202305040500;6.4;95.7
BER;202305040510;6.4;96.0
BER;202305040520;6.8;95.4
BER;202305040530;7.6;94.1
BER;202305040540;7.7;93.4
BER;202305040550;8.3;92.6
BER;202305040600;8.8;91.3
BER;202305040610;9.4;91.7
BER;202305040620;9.8;88.2
BER;202305040630;10.2;84.2
BER;202305040640;11.3;85.2
BER;202305040650;11.5;81.5
BER;202305040700;11.9;78.3
BER;202305040710;12.2;76.9
BER;202305040720;12.4;76.3
BER;202305040730;13.4;77.4
BER;202305040740;13.1;70.2
BER;202305040750;13.9;72.6
BER;202305040800;14.2;70.7
BER;202305040810;14.4;69.0
BER;202305040820;14.3;67.9
BER;202305040830;15.0;69.0
BER;202305040840;15.4;70.8
BER;202305040850;15.3;68.7
